Date,YR1,YR5,YR10
1998-05-31,21.768,16.804,17.216
1998-06-30,20.326,15.816,16.153
1998-07-31,16.151,13.302,13.456
1998-08-31,19.786,15.154,15.492
1998-09-30,16.354,13.552,13.761
1998-10-31,14.841,12.016,12.158
1998-11-30,13.03,10.8,10.89
1998-12-31,12.472,10.49,10.57
1999-01-31,11.637,9.703,9.782
1999-02-28,11.597,9.802,9.891
1999-03-31,12.152,9.901,10.016
1999-04-30,12.022,10.124,10.228
1999-05-31,12.67,10.329,8.364
1999-06-30,12.364,10.018,8.41
1999-07-31,13.167,10.647,8.452
1999-08-31,12.926,10.811,8.475
1999-09-30,13.794,11.611,9.308
1999-10-31,15.11,12.517,10.147
1999-11-30,15.893,11.313,8.928
1999-12-31,15.71,10.945,8.878
2000-01-31,16.769,11.902,9.741
2000-02-29,17.554,12.212,9.55
2000-03-31,17.605,12.216,9.707
2000-04-30,17.842,13.095,10.646
2000-05-31,18.347,13.995,11.391
2000-06-30,18.168,14.082,11.388
2000-07-31,18.22,13.457,11.683
2000-08-31,18.983,13.673,11.567
2000-09-30,18.882,14.02,11.566
2000-10-31,18.9,14.902,11.999
2000-11-30,18.344,13.62,11.64
2000-12-31,17.495,12.224,10.004
2001-01-31,17.1,12.064,9.506
2001-02-28,16.742,11.821,9.212
2001-03-31,16.466,12.034,9.781
2001-04-30,16.393,12.402,10.122
2001-05-31,15.777,12.635,10.649
2001-06-30,15.416,12.819,11.016
2001-07-31,15.103,12.621,10.604
2001-08-31,14.329,12.719,10.81
2001-09-30,13.501,12.229,10.368
2001-10-31,11.992,10.523,9.028
2001-11-30,11.119,9.22590757,7.983986974
2001-12-31,10.511,9.027700127,7.838093402
2002-01-31,9.706,8.557695925,7.395919029
2002-02-28,9.688,8.757865157,7.528153663
2002-03-31,9.622,8.640671087,7.532332915
2002-04-30,9.513,8.423565861,7.309622948
2002-05-31,9.118,8.188271248,7.035136467
2002-06-30,8.326,7.457454607,6.585960007
2002-07-31,7.862632046,7.503813192,6.691149418
2002-08-31,7.447908758,7.094673345,6.440342957
2002-09-30,6.812582905,6.526274903,5.776289072
2002-10-31,6.175339628,5.919954864,5.751047349
2002-11-30,5.837803553,5.786732553,5.818529945
2002-12-31,5.685281159,5.352141994,5.413723276
2003-01-31,5.668612938,5.508547837,5.537201354
2003-02-28,5.608807261,5.229890666,5.376608991
2003-03-31,5.3796667,5.139024061,5.357649323
2003-04-30,4.970228844,4.866195498,5.163787747
2003-05-31,4.646395419,4.707849226,4.958900707
2003-06-30,4.727584366,4.789609621,4.94999959
2003-07-31,4.778571902,5.337556587,5.547590427
2003-08-31,4.792075581,5.335141883,5.56929836
2003-09-30,4.913232791,5.643831803,5.908332461
2003-10-31,6.020634765,6.809373812,6.845728144
2003-11-30,6.20538519,7.475858232,7.017819545
2003-12-31,5.647272176,6.428112584,6.297217934
2004-01-31,5.597482797,6.708038668,6.718967974
2004-02-29,5.652648744,6.562595345,6.506006316
2004-03-31,5.669849084,6.46913398,6.481042889
2004-04-30,6.454508696,7.116467225,6.984940948
2004-05-31,6.711515385,7.323925561,7.052446116
2004-06-30,6.657493165,7.173869777,6.845802813
2004-07-31,7.050049044,7.463127851,6.956178276
2004-08-31,7.2938923,7.301318939,6.935044733
2004-09-30,6.907979787,6.674358069,6.421363959
2004-10-31,6.764564391,6.756370988,6.48208708
2004-11-30,6.619881221,6.406971538,6.171295558
2004-12-31,6.156063473,5.810604641,5.607781467
2005-01-31,6.22083083,5.959591022,5.763773965
2005-02-28,5.50495807,5.170220017,5.393695957
2005-03-31,5.247669389,5.347879389,5.335466673
2005-04-30,5.215943101,5.398700867,5.426772582
2005-05-31,4.97516066,5.024754211,4.968030337
2005-06-30,4.450384817,4.512131943,4.545643612
2005-07-31,4.326790025,4.76575362,4.775336789
2005-08-31,4.245394217,4.608479411,4.623999043
2005-09-30,4.184390594,4.571028391,4.603943077
2005-10-31,4.429914223,5.134947097,5.171200239
2005-11-30,4.560509722,5.154498908,5.196083774
2005-12-31,4.326297659,4.917008413,5.002843186
2006-01-31,4.123023118,4.806893119,5.003195678
2006-02-28,3.858108556,4.335734095,4.610526404
2006-03-31,3.880689322,4.757958648,4.897782361
2006-04-30,3.989557231,4.835169665,5.118782289
2006-05-31,4.103541175,4.942117487,5.248974701
2006-06-30,4.437337325,5.451821645,5.551319811
2006-07-31,4.384845018,5.279198687,5.493376721
2006-08-31,4.387811981,5.298549519,5.490427094
2006-09-30,4.507611678,5.288599403,5.448858048
2006-10-31,4.38235653,4.978229168,5.150729869
2006-11-30,4.36838156,4.879810698,5.036739509
2006-12-31,4.387891835,4.912278043,5.095461244
2007-01-31,4.229576138,4.846923678,5.036899242
2007-02-28,4.319118392,4.939502837,5.090620767
2007-03-31,4.271803123,4.895917721,5.114912551
2007-04-30,4.273792283,4.99733386,5.190988547
2007-05-31,4.329227919,5.061108717,5.200913699
2007-06-30,4.665897201,5.42171208,5.49652158
2007-07-31,4.772274887,5.392403185,5.448366695
2007-08-31,4.890827253,5.586097739,5.634466827
2007-09-30,4.97936483,5.458445514,5.5498988
2007-10-31,5.065177152,5.434049402,5.330866725
2007-11-30,5.598397466,5.805872881,5.556363216
2007-12-31,5.757738494,5.908876268,5.692847609
2008-01-31,5.530103213,5.588970331,5.507158945
2008-02-29,5.935634041,5.950783739,5.824597753
2008-03-31,6.029308689,5.973753938,5.810665416
2008-04-30,6.013520465,5.915167885,5.691888253
2008-05-31,6.235637986,6.109434522,5.909956947
2008-06-30,6.479162445,6.381089631,6.121600476
2008-07-31,6.219554882,6.0928813,5.854530035
2008-08-31,6.133953006,5.83408573,5.82514251
2008-09-30,6.033765198,5.684704678,5.561400767
2008-10-31,6.726452581,6.457642939,6.206511075
2008-11-30,5.895795632,5.55625197,5.597513973
2008-12-31,5.286470907,5.0262742,5.242194379
2009-01-31,4.82511776,4.842504904,5.431819187
2009-02-28,5.057648578,5.574272185,5.889616145
2009-03-31,4.606168334,5.816326979,6.048946262
2009-04-30,4.703720005,5.629641151,5.888534307
2009-05-31,4.753553574,5.547953417,6.004274594
2009-06-30,4.34224504,5.585785638,6.102672178
2009-07-31,4.111517716,5.356121372,6.08509996
2009-08-31,4.444071903,5.586683654,6.078689977
2009-09-30,4.225265064,5.723997865,6.095771371
2009-10-31,4.256771315,5.717870495,6.084205167
2009-11-30,4.183364263,5.661220608,6.140857367
2009-12-31,4.179048538,5.736112458,6.215002209
2010-01-31,3.965516987,5.442630638,6.008152681
2010-02-28,3.970659624,5.381691795,5.997113427
2010-03-31,3.919475128,5.027991532,5.564255269
2010-04-30,3.862012544,5.035261028,5.604776759
2010-05-31,3.893509545,5.152042427,5.719755263
2010-06-30,4.220663546,5.344610638,5.878874657
2010-07-31,4.065106581,5.337371739,5.79258295
2010-08-31,4.182788844,5.068378328,5.326647979
2010-09-30,4.153534003,5.043748537,5.362830021
2010-10-31,4.293091988,5.167294357,5.501777747
2010-11-30,4.328360228,5.449881056,5.991665513
2010-12-31,4.218384708,5.339650223,5.977078579
2011-01-31,4.460849186,5.575821411,6.267991044
2011-02-28,4.497018839,5.705715399,6.285618991
2011-03-31,4.506409606,5.691215506,6.264116473
2011-04-30,4.546731077,5.581776813,6.061930499
2011-05-31,4.568867116,5.497698321,5.984008604
2011-06-30,4.651702968,5.273032694,5.838876535
2011-07-31,4.574357535,5.198839189,5.748073709
2011-08-31,4.429030632,5.010818023,5.600351374
2011-09-30,4.35284182,5.144873627,5.956137686
2011-10-31,4.399575498,5.056140318,5.682645272
2011-11-30,4.65510486,5.213139649,5.868220236
2011-12-31,4.50191068,5.253178924,5.787143443
2012-01-31,4.414672818,4.992656311,5.549575582
2012-02-29,4.42036991,4.883534662,5.488015242
2012-03-31,4.485428478,4.858747051,5.524656312
2012-04-30,4.542413963,4.879718108,5.510043302
2012-05-31,4.735217507,4.954622308,5.505496565
2012-06-30,4.566947062,4.652017631,5.149295972
2012-07-31,4.285333409,4.340695611,4.811302844
2012-08-31,4.042237476,4.30119667,4.906580287
2012-09-30,3.988321216,4.155358812,4.670481008
2012-10-31,3.764685411,4.073277277,4.520501796
2012-11-30,3.377470421,3.502061713,3.879894604
2012-12-31,3.034781128,3.144419875,3.648554115
2013-01-31,3.136784455,3.334776269,3.871382809
2013-02-28,3.297528949,3.548044856,3.960481008
2013-03-31,3.008185238,3.396072688,3.91624119
2013-04-30,2.529340769,2.739612151,3.194617407
2013-05-31,2.667158837,3.047976504,3.491127921
2013-06-30,2.76839008,3.751174905,4.25523256
2013-07-31,2.569796072,3.40842173,4.007690258
2013-08-31,2.591871745,3.835918588,4.443187314
2013-09-30,2.653384331,3.850495939,4.434207651
2013-10-31,2.6142293,3.549738207,4.201031758
